"has_null","wave","gender","age","age_o","d_age","d_d_age","race","race_o","samerace","importance_same_race","importance_same_religion","d_importance_same_race","d_importance_same_religion","field","pref_o_attractive","pref_o_sincere","pref_o_intelligence","pref_o_funny","pref_o_ambitious","pref_o_shared_interests","d_pref_o_attractive","d_pref_o_sincere","d_pref_o_intelligence","d_pref_o_funny","d_pref_o_ambitious","d_pref_o_shared_interests","attractive_o","sinsere_o","intelligence_o","funny_o","ambitous_o","shared_interests_o","d_attractive_o","d_sinsere_o","d_intelligence_o","d_funny_o","d_ambitous_o","d_shared_interests_o","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important","d_attractive_important","d_sincere_important","d_intellicence_important","d_funny_important","d_ambtition_important","d_shared_interests_important","attractive","sincere","intelligence","funny","ambition","d_attractive","d_sincere","d_intelligence","d_funny","d_ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","shared_interests_partner","d_attractive_partner","d_sincere_partner","d_intelligence_partner","d_funny_partner","d_ambition_partner","d_shared_interests_partner","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","d_sports","d_tvsports","d_exercise","d_dining","d_museums","d_art","d_hiking","d_gaming","d_clubbing","d_reading","d_tv","d_theater","d_movies","d_concerts","d_music","d_shopping","d_yoga","interests_correlate","d_interests_correlate","expected_happy_with_sd_people","expected_num_interested_in_me","expected_num_matches","d_expected_happy_with_sd_people","d_expected_num_interested_in_me","d_expected_num_matches","like","guess_prob_liked","d_like","d_guess_prob_liked","met","decision","decision_o","match"
0,1,female,24,27,3,[2-3],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,35,20,20,20,0,5,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],8,7,6,9,7,4,[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],5,7,8,4,6,3,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.29,[0-0.33],4,5,3,[0-4],[4-9],[3-5],6,4,[6-8],[0-4],0,0,0,0
0,1,female,24,22,2,[2-3],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,60,0,0,40,0,0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],7,6,10,6,6,5,[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],8,5,6,6,9,6,[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.18,[0-0.33],4,5,3,[0-4],[4-9],[3-5],7,3,[6-8],[0-4],0,0,0,0
0,1,female,24,22,2,[2-3],European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,2,5,[2-5],[2-5],law,19,18,19,18,14,12,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],10,10,10,10,10,10,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],5,8,9,6,3,4,[0-5],[6-8],[9-10],[6-8],[0-5],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.1,[0-0.33],4,5,3,[0-4],[4-9],[3-5],6,7,[6-8],[7-10],0,0,1,0
0,1,female,24,23,1,[0-1],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,30,5,15,40,5,5,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],9,9,9,9,9,9,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],7,9,7,6,5,7,[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],-0.21,[-1-0],4,5,3,[0-4],[4-9],[3-5],7,8,[6-8],[7-10],0,1,1,1
0,1,female,24,24,0,[0-1],European/Caucasian-American,'Latino/Hispanic American',0,2,5,[2-5],[2-5],law,30,10,20,10,10,20,[21-100],[0-15],[16-20],[0-15],[0-15],[16-20],10,10,10,10,7,8,[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],6,8,7,9,7,8,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.32,[0-0.33],4,5,3,[0-4],[4-9],[3-5],8,6,[6-8],[5-6],1,0,1,0
0,1,female,24,25,1,[0-1],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,50,0,30,10,0,10,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],7,8,7,5,7,7,[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],8,7,8,3,6,2,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.73,[0.33-1],4,5,3,[0-4],[4-9],[3-5],6,5,[6-8],[5-6],0,0,1,0
0,1,female,24,30,6,[4-6],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,35,15,25,10,5,10,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],5,3,4,3,5,3,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],7,5,9,6,7,9,[6-8],[0-5],[9-10],[6-8],[6-8],[9-10],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.6,[0.33-1],4,5,3,[0-4],[4-9],[3-5],8,7,[6-8],[7-10],0,1,0,0
0,1,female,24,27,3,[2-3],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,33.33,11.11,11.11,11.11,11.11,22.22,[21-100],[0-15],[0-15],[0-15],[0-15],[21-100],7,7,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],5,8,7,5,9,5,[0-5],[6-8],[6-8],[0-5],[9-10],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.07,[0-0.33],4,5,3,[0-4],[4-9],[3-5],5,6,[0-5],[5-6],0,0,1,0
0,1,female,24,28,4,[4-6],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,50,0,25,10,0,15,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,6,9,9,8,7,[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],7,6,8,9,4,5,[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.11,[0-0.33],4,5,3,[0-4],[4-9],[3-5],5,6,[0-5],[5-6],0,1,1,1
0,1,female,24,24,0,[0-1],European/Caucasian-American,European/Caucasian-American,1,2,5,[2-5],[2-5],law,100,0,0,0,0,0,[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],6,5,7,7,9,7,[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],45,5,25,20,0,5,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],6,7,8,7,9,8,[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.39,[0.33-1],4,5,3,[0-4],[4-9],[3-5],8,7,[6-8],[7-10],0,1,0,0
1,1,female,25,27,2,[2-3],European/Caucasian-American,European/Caucasian-American,1,8,4,[6-10],[2-5],Economics,35,20,20,20,0,5,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],7,8,6,5,8,4,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],7,9,10,7,8,9,[6-8],[9-10],[9-10],[6-8],[6-8],[9-10],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],-0.24,[-1-0],4,2,?,[0-4],[0-3],[0-2],8,7,[6-8],[7-10],1,0,0,0
1,1,female,25,22,3,[2-3],European/Caucasian-American,European/Caucasian-American,1,8,4,[6-10],[2-5],Economics,60,0,0,40,0,0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],6,7,10,6,6,5,[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],9,7,9,8,9,7,[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],-0.14,[-1-0],4,2,?,[0-4],[0-3],[0-2],8,7,[6-8],[7-10],0,0,0,0
1,1,female,25,22,3,[2-3],European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,8,4,[6-10],[2-5],Economics,19,18,19,18,14,12,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],10,10,10,10,10,10,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],7,9,9,7,9,7,[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],0.09,[0-0.33],4,2,?,[0-4],[0-3],[0-2],8,7,[6-8],[7-10],0,0,1,0
1,1,female,25,23,2,[2-3],European/Caucasian-American,European/Caucasian-American,1,8,4,[6-10],[2-5],Economics,30,5,15,40,5,5,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],7,9,8,8,8,8,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],9,7,9,7,9,7,[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],-0.04,[-1-0],4,2,?,[0-4],[0-3],[0-2],8,7,[6-8],[7-10],0,0,1,0
1,1,female,25,24,1,[0-1],European/Caucasian-American,'Latino/Hispanic American',0,8,4,[6-10],[2-5],Economics,30,10,20,10,10,20,[21-100],[0-15],[16-20],[0-15],[0-15],[16-20],6,10,8,6,?,?,[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],9,10,10,10,10,10,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],-0.14,[-1-0],4,2,?,[0-4],[0-3],[0-2],9,?,[9-10],[0-4],0,0,1,0
1,1,female,25,25,0,[0-1],European/Caucasian-American,European/Caucasian-American,1,8,4,[6-10],[2-5],Economics,50,0,30,10,0,10,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],7,6,6,6,6,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],8,10,10,7,9,9,[6-8],[9-10],[9-10],[6-8],[9-10],[9-10],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],-0.3,[-1-0],4,2,?,[0-4],[0-3],[0-2],8,?,[6-8],[0-4],0,0,1,0
1,1,female,25,30,5,[4-6],European/Caucasian-American,European/Caucasian-American,1,8,4,[6-10],[2-5],Economics,35,15,25,10,5,10,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],6,3,5,4,5,4,[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],8,9,10,7,7,9,[6-8],[9-10],[9-10],[6-8],[6-8],[9-10],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],-0.26,[-1-0],4,2,?,[0-4],[0-3],[0-2],8,7,[6-8],[7-10],0,0,0,0
1,1,female,25,27,2,[2-3],European/Caucasian-American,European/Caucasian-American,1,8,4,[6-10],[2-5],Economics,33.33,11.11,11.11,11.11,11.11,22.22,[21-100],[0-15],[0-15],[0-15],[0-15],[21-100],4,5,6,4,6,4,[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],35,10,35,10,10,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8,9,8,9,8,[6-8],[9-10],[6-8],[9-10],[6-8],7,9,9,8,9,7,[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],0.29,[0-0.33],4,2,?,[0-4],[0-3],[0-2],8,7,[6-8],[7-10],0,0,0,0
