"","iid","pid","gender","age","age_o","samerace","importance_same_race","pref_o_attractive","pref_o_sincere","pref_o_intelligence","pref_o_funny","pref_o_ambitious","pref_o_shared_interests","attractive_o","sinsere_o","intelligence_o","funny_o","ambitous_o","shared_interests_o","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","shared_interests_partner","like","met","att_m","sin_m","int_m","fun_m","amb_m","sha_m","dec_m","decision_o","like_o"
"43",5,15,1,21,24,0,8,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,7,0,5.3,7.7,7.6,7.2,7.8,6.2,0.3,0,5
"44",5,16,1,21,25,1,8,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,7,0,5.3,7.7,7.6,7.2,7.8,6.2,0.3,0,6
"45",5,17,1,21,30,1,8,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,6,0,5.3,7.7,7.6,7.2,7.8,6.2,0.3,0,3
"46",5,18,1,21,27,1,8,33,11,11,11,11,22,5,5,6,5,5,5,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,6,0,5.3,7.7,7.6,7.2,7.8,6.2,0.3,0,6
"47",5,19,1,21,28,1,8,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,9,0,5.3,7.7,7.6,7.2,7.8,6.2,0.3,1,7
"48",5,20,1,21,24,1,8,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,10,0,5.3,7.7,7.6,7.2,7.8,6.2,0.3,0,4
"49",6,11,1,23,27,0,1,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,6,0,6.8,7.8,8.6,7,8,6.3,0.5,0,7
"50",6,12,1,23,22,0,1,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,7,0,6.8,7.8,8.6,7,8,6.3,0.5,0,7
"51",6,13,1,23,22,1,1,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,6,1,6.8,7.8,8.6,7,8,6.3,0.5,1,10
"52",6,14,1,23,23,0,1,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,9,0,6.8,7.8,8.6,7,8,6.3,0.5,1,7
"53",6,15,1,23,24,0,1,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,4,1,6.8,7.8,8.6,7,8,6.3,0.5,1,9
"54",6,16,1,23,25,0,1,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,2,0,6.8,7.8,8.6,7,8,6.3,0.5,1,6
"55",6,17,1,23,30,0,1,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,8,0,6.8,7.8,8.6,7,8,6.3,0.5,0,3
"56",6,18,1,23,27,0,1,33,11,11,11,11,22,6,7,8,7,8,5,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,5,0,6.8,7.8,8.6,7,8,6.3,0.5,0,7
"57",6,19,1,23,28,0,1,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,9,0,6.8,7.8,8.6,7,8,6.3,0.5,1,6
"58",6,20,1,23,24,0,1,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,9,0,6.8,7.8,8.6,7,8,6.3,0.5,0,6
"59",7,11,1,22,27,0,2,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,7,0,7.9,7.6,8.2,7,7.5,6.7,0.7,0,7
"60",7,12,1,22,22,0,2,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,7,1,7.9,7.6,8.2,7,7.5,6.7,0.7,1,8
"61",7,13,1,22,22,1,2,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,7,1,7.9,7.6,8.2,7,7.5,6.7,0.7,1,4
"62",7,14,1,22,23,0,2,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,8,1,7.9,7.6,8.2,7,7.5,6.7,0.7,1,8
"63",7,15,1,22,24,0,2,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,1,7.9,7.6,8.2,7,7.5,6.7,0.7,1,8
"64",7,16,1,22,25,0,2,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,0,7.9,7.6,8.2,7,7.5,6.7,0.7,1,7
"65",7,17,1,22,30,0,2,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,8,0,7.9,7.6,8.2,7,7.5,6.7,0.7,0,5
"66",7,18,1,22,27,0,2,33,11,11,11,11,22,8,7,6,7,7,5,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,0,7.9,7.6,8.2,7,7.5,6.7,0.7,1,7
"67",7,19,1,22,28,0,2,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,6,0,7.9,7.6,8.2,7,7.5,6.7,0.7,1,9
"68",7,20,1,22,24,0,2,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,7,0,7.9,7.6,8.2,7,7.5,6.7,0.7,0,7
"69",8,11,1,25,27,1,1,35,20,20,20,0,5,8,7,6,6,6,5,9,18,27,18,18,9,7,4,8,8,8,5,8,7,4,7,5,4,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,0,7
"70",8,12,1,25,22,1,1,60,0,0,40,0,0,8,8,10,7,6,5,9,18,27,18,18,9,7,4,8,8,8,8,7,7,9,6,7,8,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,1,9
"71",8,13,1,25,22,0,1,19,18,19,18,14,12,10,10,10,10,10,10,9,18,27,18,18,9,7,4,8,8,8,5,8,8,6,7,7,5,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,1,10
"72",8,14,1,25,23,1,1,30,5,15,40,5,5,8,8,8,8,8,7,9,18,27,18,18,9,7,4,8,8,8,8,6,5,6,6,5,5,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,1,8
"73",8,16,1,25,25,1,1,50,0,30,10,0,10,8,7,7,7,8,7,9,18,27,18,18,9,7,4,8,8,8,6,8,8,5,6,7,6,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,1,7
"74",8,17,1,25,30,1,1,35,15,25,10,5,10,6,4,7,5,6,4,9,18,27,18,18,9,7,4,8,8,8,6,7,8,5,7,7,6,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,0,4
"75",8,18,1,25,27,1,1,33,11,11,11,11,22,9,8,8,8,7,5,9,18,27,18,18,9,7,4,8,8,8,5,6,7,4,5,6,5,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,1,7
"76",8,19,1,25,28,1,1,50,0,25,10,0,15,8,7,8,10,8,10,9,18,27,18,18,9,7,4,8,8,8,8,8,5,9,8,9,7,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,1,8
"77",8,20,1,25,24,1,1,100,0,0,0,0,0,8,10,9,9,8,8,9,18,27,18,18,9,7,4,8,8,8,7,6,8,7,9,8,8,0,8.1,7.7,8.1,7.8,7.4,6.8,0.8,1,8
"78",9,11,1,26,27,0,1,35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,5,0,7,7.4,7.5,7.8,6.9,6.3,0.7,0,6
"79",9,12,1,26,22,0,1,60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,10,0,7,7.4,7.5,7.8,6.9,6.3,0.7,1,8
"80",9,13,1,26,22,0,1,19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,8,0,7,7.4,7.5,7.8,6.9,6.3,0.7,1,10
"81",9,14,1,26,23,0,1,30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,7,0,7,7.4,7.5,7.8,6.9,6.3,0.7,1,7
"82",9,15,1,26,24,0,1,30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,5,0,7,7.4,7.5,7.8,6.9,6.3,0.7,1,7
"83",9,16,1,26,25,0,1,50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,6,0,7,7.4,7.5,7.8,6.9,6.3,0.7,1,6
"84",9,17,1,26,30,0,1,35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,7,0,7,7.4,7.5,7.8,6.9,6.3,0.7,1,8
"85",9,18,1,26,27,0,1,33,11,11,11,11,22,7,7,7,7,6,5,20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,6,7,0,7,7.4,7.5,7.8,6.9,6.3,0.7,0,7
"86",9,19,1,26,28,0,1,50,0,25,10,0,15,6,6,6,7,6,6,20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,5,7,0,7,7.4,7.5,7.8,6.9,6.3,0.7,1,6
"87",9,20,1,26,24,0,1,100,0,0,0,0,0,5,6,6,6,6,6,20,10,20,30,10,10,7,6,10,7,7,7,8,7,8,7,8,8,0,7,7.4,7.5,7.8,6.9,6.3,0.7,0,6
"88",10,19,1,26,28,1,4,50,0,25,10,0,15,7,7,7,7,6,6,15,15,15,40,10,5,6,8,10,6,9,9,9,9,9,9,9,9,0,6.5,6.5,6.5,6.5,6,6,0.5,1,7
"89",10,20,1,26,24,1,4,100,0,0,0,0,0,6,6,6,6,6,6,15,15,15,40,10,5,6,8,10,6,9,9,9,8,10,8,8,9,0,6.5,6.5,6.5,6.5,6,6,0.5,0,7
"90",11,1,0,27,21,0,7,15,20,20,15,15,15,6,9,7,7,6,5,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,8,6,7,0,5.6,8.7,8,5.3,6.4,5.2,0.4,1,7
"91",11,2,0,27,24,1,7,45,5,25,20,0,5,5,7,8,4,6,3,35,20,20,20,0,5,8,9,7,8,5,8,7,6,9,7,4,7,0,5.6,8.7,8,5.3,6.4,5.2,0.4,0,6
"92",11,3,0,27,25,1,7,35,10,35,10,10,0,7,9,10,7,8,9,35,20,20,20,0,5,8,9,7,8,5,7,8,6,5,8,4,5,1,5.6,8.7,8,5.3,6.4,5.2,0.4,0,8
"93",11,4,0,27,23,1,7,20,20,20,20,10,10,4,10,8,5,8,7,35,20,20,20,0,5,8,9,7,8,5,6,7,8,7,7,5,6,0,5.6,8.7,8,5.3,6.4,5.2,0.4,0,6
"94",11,5,0,27,21,1,7,20,5,25,25,10,15,5,8,8,2,2,2,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,7,6,6,0,5.6,8.7,8,5.3,6.4,5.2,0.4,0,7
"95",11,6,0,27,23,0,7,10,25,20,25,5,15,6,9,7,6,7,6,35,20,20,20,0,5,8,9,7,8,5,7,9,8,9,8,4,7,0,5.6,8.7,8,5.3,6.4,5.2,0.4,1,6
"96",11,7,0,27,22,0,7,15,15,25,20,15,10,4,8,8,5,7,4,35,20,20,20,0,5,8,9,7,8,5,7,8,8,8,7,7,7,0,5.6,8.7,8,5.3,6.4,5.2,0.4,0,7
"97",11,8,0,27,25,1,7,9,18,27,18,18,9,5,8,7,4,7,5,35,20,20,20,0,5,8,9,7,8,5,8,7,6,6,6,5,7,0,5.6,8.7,8,5.3,6.4,5.2,0.4,1,4
"98",11,9,0,27,26,0,7,20,10,20,30,10,10,8,10,9,8,7,6,35,20,20,20,0,5,8,9,7,8,5,6,8,7,8,7,5,6,0,5.6,8.7,8,5.3,6.4,5.2,0.4,1,5
"99",12,1,0,22,21,0,1,15,20,20,15,15,15,7,8,7,8,5,6,60,0,0,40,0,0,9,9,9,10,9,7,8,10,7,7,5,8,0,7.8,7.2,7.8,7.3,7.6,6.1,0.4,1,7
"100",12,2,0,22,24,1,1,45,5,25,20,0,5,8,5,6,6,9,6,60,0,0,40,0,0,9,9,9,10,9,7,6,10,6,6,5,8,0,7.8,7.2,7.8,7.3,7.6,6.1,0.4,0,7
"101",12,3,0,22,25,1,1,35,10,35,10,10,0,9,7,9,8,9,7,60,0,0,40,0,0,9,9,9,10,9,6,7,10,6,6,5,7,0,7.8,7.2,7.8,7.3,7.6,6.1,0.4,0,8
"102",12,4,0,22,23,1,1,20,20,20,20,10,10,8,7,8,10,7,8,60,0,0,40,0,0,9,9,9,10,9,6,5,10,6,6,5,6,1,7.8,7.2,7.8,7.3,7.6,6.1,0.4,0,8
"103",12,5,0,22,21,1,1,20,5,25,25,10,15,8,6,6,5,5,5,60,0,0,40,0,0,9,9,9,10,9,6,7,10,7,6,5,7,1,7.8,7.2,7.8,7.3,7.6,6.1,0.4,0,6
"104",12,6,0,22,23,0,1,10,25,20,25,5,15,6,9,9,6,8,2,60,0,0,40,0,0,9,9,9,10,9,6,8,10,6,7,6,7,0,7.8,7.2,7.8,7.3,7.6,6.1,0.4,1,7
"105",12,7,0,22,22,0,1,15,15,25,20,15,10,6,6,8,4,9,4,60,0,0,40,0,0,9,9,9,10,9,7,9,10,6,6,5,8,1,7.8,7.2,7.8,7.3,7.6,6.1,0.4,0,7
"106",12,8,0,22,25,1,1,9,18,27,18,18,9,8,7,7,9,6,7,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,9,0,7.8,7.2,7.8,7.3,7.6,6.1,0.4,1,8
"107",12,9,0,22,26,0,1,20,10,20,30,10,10,10,10,10,10,10,10,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,8,0,7.8,7.2,7.8,7.3,7.6,6.1,0.4,1,10
"108",13,1,0,22,21,1,3,15,20,20,15,15,15,5,8,9,8,5,7,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,1,5,8,8.9,6.4,5.6,5.4,0.4,1,7
"109",13,2,0,22,24,0,3,45,5,25,20,0,5,5,8,9,6,3,4,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,5,8,8.9,6.4,5.6,5.4,0.4,0,6
"110",13,3,0,22,25,0,3,35,10,35,10,10,0,7,9,9,7,9,7,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,5,8,8.9,6.4,5.6,5.4,0.4,0,8
"111",13,5,0,22,21,0,3,20,5,25,25,10,15,4,6,8,8,6,5,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,1,5,8,8.9,6.4,5.6,5.4,0.4,0,6
"112",13,6,0,22,23,1,3,10,25,20,25,5,15,4,7,9,4,3,2,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,1,5,8,8.9,6.4,5.6,5.4,0.4,0,6
"113",13,8,0,22,25,0,3,9,18,27,18,18,9,5,8,8,6,7,7,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,5,8,8.9,6.4,5.6,5.4,0.4,1,5
"114",13,9,0,22,26,0,3,20,10,20,30,10,10,5,10,10,6,6,6,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,5,8,8.9,6.4,5.6,5.4,0.4,1,8
"115",14,1,0,23,21,0,1,15,20,20,15,15,15,7,6,8,7,6,8,30,5,15,40,5,5,9,9,9,9,9,7,8,9,8,9,8,7,0,8,7.3,7.1,7.3,6.2,7.4,0.9,1,7
"116",14,2,0,23,24,1,1,45,5,25,20,0,5,7,9,7,6,5,7,30,5,15,40,5,5,9,9,9,9,9,9,9,9,9,9,9,9,0,8,7.3,7.1,7.3,6.2,7.4,0.9,1,7
"117",14,3,0,23,25,1,1,35,10,35,10,10,0,9,7,9,7,9,7,30,5,15,40,5,5,9,9,9,9,9,7,9,8,8,8,8,7,0,8,7.3,7.1,7.3,6.2,7.4,0.9,0,8
"118",14,4,0,23,23,1,1,20,20,20,20,10,10,8,10,7,10,7,10,30,5,15,40,5,5,9,9,9,9,9,7,7,7,9,9,9,8,1,8,7.3,7.1,7.3,6.2,7.4,0.9,1,8
"119",14,5,0,23,21,1,1,20,5,25,25,10,15,8,5,5,7,7,9,30,5,15,40,5,5,9,9,9,9,9,6,8,6,8,10,10,7,1,8,7.3,7.1,7.3,6.2,7.4,0.9,1,8
"120",14,6,0,23,23,0,1,10,25,20,25,5,15,8,6,7,8,2,8,30,5,15,40,5,5,9,9,9,9,9,6,8,8,7,9,8,7,0,8,7.3,7.1,7.3,6.2,7.4,0.9,1,9
"121",14,7,0,23,22,0,1,15,15,25,20,15,10,7,8,8,7,7,6,30,5,15,40,5,5,9,9,9,9,9,8,8,9,8,9,9,8,1,8,7.3,7.1,7.3,6.2,7.4,0.9,1,8
"122",14,8,0,23,25,1,1,9,18,27,18,18,9,8,6,5,6,6,5,30,5,15,40,5,5,9,9,9,9,9,8,8,8,8,8,7,8,0,8,7.3,7.1,7.3,6.2,7.4,0.9,1,5
"123",14,9,0,23,26,0,1,20,10,20,30,10,10,10,9,8,8,7,7,30,5,15,40,5,5,9,9,9,9,9,7,8,7,8,8,7,7,0,8,7.3,7.1,7.3,6.2,7.4,0.9,1,7
