gender,age,age_o,samerace,importance_same_race,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,like,met,decision_o
1,23,27,0,1,35,20,20,20,0,5,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,6,0,0
1,23,22,0,1,60,0,0,40,0,0,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,7,0,0
1,23,22,1,1,19,18,19,18,14,12,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,6,1,1
1,23,23,0,1,30,5,15,40,5,5,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,9,0,1
1,23,24,0,1,30,10,20,10,10,20,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,4,1,1
1,23,25,0,1,50,0,30,10,0,10,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,2,0,1
1,23,30,0,1,35,15,25,10,5,10,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,8,0,0
1,23,27,0,1,33.33,11.11,11.11,11.11,11.11,22.22,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,5,0,0
1,23,28,0,1,50,0,25,10,0,15,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,9,0,1
1,23,24,0,1,100,0,0,0,0,0,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,9,0,0
1,22,27,0,2,35,20,20,20,0,5,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,7,0,0
1,22,22,0,2,60,0,0,40,0,0,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,7,1,1
1,22,22,1,2,19,18,19,18,14,12,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,7,1,1
1,22,23,0,2,30,5,15,40,5,5,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,8,1,1
1,22,24,0,2,30,10,20,10,10,20,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,1,1
1,22,25,0,2,50,0,30,10,0,10,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,0,1
1,22,30,0,2,35,15,25,10,5,10,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,8,0,0
1,22,27,0,2,33.33,11.11,11.11,11.11,11.11,22.22,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,0,1
1,22,28,0,2,50,0,25,10,0,15,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,6,0,1
1,22,24,0,2,100,0,0,0,0,0,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,7,0,0
1,25,27,1,1,35,20,20,20,0,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,5,4,0,0
1,25,22,1,1,60,0,0,40,0,0,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,8,0,1
1,25,22,0,1,19,18,19,18,14,12,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,5,0,1
1,25,23,1,1,30,5,15,40,5,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,5,0,1
1,25,24,0,1,30,10,20,10,10,20,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,6,0,1
1,25,25,1,1,50,0,30,10,0,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,6,0,1
1,25,30,1,1,35,15,25,10,5,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,8,5,7,7,6,0,0
1,25,27,1,1,33.33,11.11,11.11,11.11,11.11,22.22,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,6,5,0,1
1,25,28,1,1,50,0,25,10,0,15,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,9,7,0,1
1,25,24,1,1,100,0,0,0,0,0,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,8,8,0,1
1,26,27,0,1,35,20,20,20,0,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,5,0,0
1,26,22,0,1,60,0,0,40,0,0,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,10,0,1
1,26,22,0,1,19,18,19,18,14,12,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,8,0,1
1,26,23,0,1,30,5,15,40,5,5,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,7,0,1
1,26,24,0,1,30,10,20,10,10,20,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,5,0,1
1,26,25,0,1,50,0,30,10,0,10,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,6,0,1
1,26,30,0,1,35,15,25,10,5,10,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,7,0,1
1,26,27,0,1,33.33,11.11,11.11,11.11,11.11,22.22,20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,6,7,0,0
1,26,28,0,1,50,0,25,10,0,15,20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,5,7,0,1
1,26,24,0,1,100,0,0,0,0,0,20,10,20,30,10,10,7,6,10,7,7,7,8,7,8,7,8,8,0,0
1,26,28,1,4,50,0,25,10,0,15,15,15,15,40,10,5,6,8,10,6,9,9,9,9,9,9,9,9,0,1
1,26,24,1,4,100,0,0,0,0,0,15,15,15,40,10,5,6,8,10,6,9,9,9,8,10,8,8,9,0,0
0,27,21,0,7,15,20,20,15,15,15,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,8,6,7,0,1
0,27,24,1,7,45,5,25,20,0,5,35,20,20,20,0,5,8,9,7,8,5,8,7,6,9,7,4,7,0,0
0,27,25,1,7,35,10,35,10,10,0,35,20,20,20,0,5,8,9,7,8,5,7,8,6,5,8,4,5,1,0
0,27,23,1,7,20,20,20,20,10,10,35,20,20,20,0,5,8,9,7,8,5,6,7,8,7,7,5,6,0,0
0,27,21,1,7,20,5,25,25,10,15,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,7,6,6,0,0
0,27,23,0,7,10,25,20,25,5,15,35,20,20,20,0,5,8,9,7,8,5,7,9,8,9,8,4,7,0,1
0,27,22,0,7,15,15,25,20,15,10,35,20,20,20,0,5,8,9,7,8,5,7,8,8,8,7,7,7,0,0
0,27,25,1,7,9.09,18.18,27.27,18.18,18.18,9.09,35,20,20,20,0,5,8,9,7,8,5,8,7,6,6,6,5,7,0,1
0,27,26,0,7,20,10,20,30,10,10,35,20,20,20,0,5,8,9,7,8,5,6,8,7,8,7,5,6,0,1
0,27,26,1,7,15,15,15,40,10,5,35,20,20,20,0,5,8,9,7,8,5,7,8,7,8,6,5,6,0,0
0,22,21,0,1,15,20,20,15,15,15,60,0,0,40,0,0,9,9,9,10,9,7,8,10,7,7,5,8,0,1
0,22,24,1,1,45,5,25,20,0,5,60,0,0,40,0,0,9,9,9,10,9,7,6,10,6,6,5,8,0,0
0,22,25,1,1,35,10,35,10,10,0,60,0,0,40,0,0,9,9,9,10,9,6,7,10,6,6,5,7,0,0
0,22,23,1,1,20,20,20,20,10,10,60,0,0,40,0,0,9,9,9,10,9,6,5,10,6,6,5,6,1,0
0,22,21,1,1,20,5,25,25,10,15,60,0,0,40,0,0,9,9,9,10,9,6,7,10,7,6,5,7,1,0
0,22,23,0,1,10,25,20,25,5,15,60,0,0,40,0,0,9,9,9,10,9,6,8,10,6,7,6,7,0,1
0,22,22,0,1,15,15,25,20,15,10,60,0,0,40,0,0,9,9,9,10,9,7,9,10,6,6,5,8,1,0
0,22,25,1,1,9.09,18.18,27.27,18.18,18.18,9.09,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,9,0,1
0,22,26,0,1,20,10,20,30,10,10,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,8,0,1
0,22,26,1,1,15,15,15,40,10,5,60,0,0,40,0,0,9,9,9,10,9,1,1,1,1,1,1,1,0,0
0,22,21,1,3,15,20,20,15,15,15,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,1,1
0,22,24,0,3,45,5,25,20,0,5,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,0
0,22,25,0,3,35,10,35,10,10,0,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,0
0,22,21,0,3,20,5,25,25,10,15,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,1,0
0,22,23,1,3,10,25,20,25,5,15,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,1,0
0,22,25,0,3,9.09,18.18,27.27,18.18,18.18,9.09,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,1
0,22,26,0,3,20,10,20,30,10,10,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,1
0,22,26,0,3,15,15,15,40,10,5,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,10,0,1
0,23,21,0,1,15,20,20,15,15,15,30,5,15,40,5,5,9,9,9,9,9,7,8,9,8,9,8,7,0,1
0,23,24,1,1,45,5,25,20,0,5,30,5,15,40,5,5,9,9,9,9,9,9,9,9,9,9,9,9,0,1
0,23,25,1,1,35,10,35,10,10,0,30,5,15,40,5,5,9,9,9,9,9,7,9,8,8,8,8,7,0,0
0,23,23,1,1,20,20,20,20,10,10,30,5,15,40,5,5,9,9,9,9,9,7,7,7,9,9,9,8,1,1
0,23,21,1,1,20,5,25,25,10,15,30,5,15,40,5,5,9,9,9,9,9,6,8,6,8,10,10,7,1,1
0,23,23,0,1,10,25,20,25,5,15,30,5,15,40,5,5,9,9,9,9,9,6,8,8,7,9,8,7,0,1
0,23,22,0,1,15,15,25,20,15,10,30,5,15,40,5,5,9,9,9,9,9,8,8,9,8,9,9,8,1,1
0,23,25,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,5,15,40,5,5,9,9,9,9,9,8,8,8,8,8,7,8,0,1
0,23,26,0,1,20,10,20,30,10,10,30,5,15,40,5,5,9,9,9,9,9,7,8,7,8,8,7,7,0,1
0,23,26,1,1,15,15,15,40,10,5,30,5,15,40,5,5,9,9,9,9,9,7,8,7,9,8,8,7,1,0
0,24,21,0,3,15,20,20,15,15,15,30,10,20,10,10,20,7,7,7,9,9,8,7,9,6,9,7,8,0,1
0,24,24,0,3,45,5,25,20,0,5,30,10,20,10,10,20,7,7,7,9,9,10,10,10,10,7,8,10,1,0
0,24,23,0,3,20,20,20,20,10,10,30,10,20,10,10,20,7,7,7,9,9,8,8,9,8,8,9,9,0,0
0,24,21,0,3,20,5,25,25,10,15,30,10,20,10,10,20,7,7,7,9,9,5,9,9,7,9,5,5,0,0
0,24,23,0,3,10,25,20,25,5,15,30,10,20,10,10,20,7,7,7,9,9,9,7,9,7,9,6,9,1,0
0,24,22,0,3,15,15,25,20,15,10,30,10,20,10,10,20,7,7,7,9,9,8,7,9,6,9,5,8,0,0
0,24,26,0,3,20,10,20,30,10,10,30,10,20,10,10,20,7,7,7,9,9,7,9,8,9,7,7,7,0,1
0,25,21,0,9,15,20,20,15,15,15,50,0,30,10,0,10,6,6,8,8,6,7,7,8,8,7,7,7,0,0
0,25,24,1,9,45,5,25,20,0,5,50,0,30,10,0,10,6,6,8,8,6,7,8,7,5,7,7,7,0,0
0,25,25,1,9,35,10,35,10,10,0,50,0,30,10,0,10,6,6,8,8,6,7,6,6,6,6,6,6,0,0
0,25,23,1,9,20,20,20,20,10,10,50,0,30,10,0,10,6,6,8,8,6,6,6,7,7,8,7,6,0,0
0,25,21,1,9,20,5,25,25,10,15,50,0,30,10,0,10,6,6,8,8,6,5,8,7,7,7,7,6,0,1
0,25,23,0,9,10,25,20,25,5,15,50,0,30,10,0,10,6,6,8,8,6,6,6,8,8,8,7,6,0,0
0,25,22,0,9,15,15,25,20,15,10,50,0,30,10,0,10,6,6,8,8,6,8,8,8,6,6,6,7,0,0
0,25,25,1,9,9.09,18.18,27.27,18.18,18.18,9.09,50,0,30,10,0,10,6,6,8,8,6,8,7,7,7,8,7,7,0,1
0,25,26,0,9,20,10,20,30,10,10,50,0,30,10,0,10,6,6,8,8,6,6,6,7,8,7,7,6,0,1
0,30,21,0,1,15,20,20,15,15,15,35,15,25,10,5,10,7,7,6,8,4,3,6,7,5,8,7,2,0,1
0,30,24,1,1,45,5,25,20,0,5,35,15,25,10,5,10,7,7,6,8,4,5,3,4,3,5,3,4,0,1
0,30,25,1,1,35,10,35,10,10,0,35,15,25,10,5,10,7,7,6,8,4,6,3,5,4,5,4,2,0,0
0,30,23,1,1,20,20,20,20,10,10,35,15,25,10,5,10,7,7,6,8,4,7,6,3,5,6,5,6,0,0
0,30,21,1,1,20,5,25,25,10,15,35,15,25,10,5,10,7,7,6,8,4,2,3,4,4,5,3,3,0,1
0,30,23,0,1,10,25,20,25,5,15,35,15,25,10,5,10,7,7,6,8,4,5,6,8,4,5,4,3,0,1
0,30,22,0,1,15,15,25,20,15,10,35,15,25,10,5,10,7,7,6,8,4,7,6,5,4,4,3,5,0,1
0,30,25,1,1,9.09,18.18,27.27,18.18,18.18,9.09,35,15,25,10,5,10,7,7,6,8,4,6,4,7,5,6,4,4,0,1
0,30,26,0,1,20,10,20,30,10,10,35,15,25,10,5,10,7,7,6,8,4,8,6,7,8,6,5,8,0,1
0,30,26,1,1,15,15,15,40,10,5,35,15,25,10,5,10,7,7,6,8,4,7,7,4,3,4,4,3,0,1
0,27,21,0,8,15,20,20,15,15,15,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,6,7,5,6,8,6,7,0,0
0,27,24,1,8,45,5,25,20,0,5,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,7,7,7,7,7,5,7,0,0
0,27,25,1,8,35,10,35,10,10,0,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,4,5,6,4,6,4,5,0,0
0,27,23,1,8,20,20,20,20,10,10,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,6,7,8,6,6,5,7,0,0
0,27,21,1,8,20,5,25,25,10,15,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,5,5,6,5,5,5,6,0,1
0,27,23,0,8,10,25,20,25,5,15,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,6,7,8,7,8,5,7,0,0
0,27,22,0,8,15,15,25,20,15,10,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,8,7,6,7,7,5,7,0,0
0,27,25,1,8,9.09,18.18,27.27,18.18,18.18,9.09,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,9,8,8,8,7,5,7,0,1
0,27,26,0,8,20,10,20,30,10,10,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,7,7,7,7,6,5,7,0,1
0,27,26,1,8,15,15,15,40,10,5,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,6,6,6,6,6,5,7,0,0
0,28,21,0,1,15,20,20,15,15,15,50,0,25,10,0,15,10,6,10,10,10,7,7,8,8,8,9,6.5,0,1
0,28,24,1,1,45,5,25,20,0,5,50,0,25,10,0,15,10,6,10,10,10,8,6,9,9,8,7,8,0,1
0,28,25,1,1,35,10,35,10,10,0,50,0,25,10,0,15,10,6,10,10,10,7,7,6,8,7,7,7,0,0
0,28,23,1,1,20,20,20,20,10,10,50,0,25,10,0,15,10,6,10,10,10,7,7,7,10,9,10,8,0,1
0,28,21,1,1,20,5,25,25,10,15,50,0,25,10,0,15,10,6,10,10,10,5,9,9,9,9,6,7,0,1
0,28,23,0,1,10,25,20,25,5,15,50,0,25,10,0,15,10,6,10,10,10,6,7,7,6,6,6,6,0,1
0,28,22,0,1,15,15,25,20,15,10,50,0,25,10,0,15,10,6,10,10,10,9,7,9,9,9,10,9,0,1
0,28,25,1,1,9.09,18.18,27.27,18.18,18.18,9.09,50,0,25,10,0,15,10,6,10,10,10,8,7,8,10,8,10,8,0,1
0,28,26,0,1,20,10,20,30,10,10,50,0,25,10,0,15,10,6,10,10,10,6,6,6,7,6,6,6,0,1
0,28,26,1,1,15,15,15,40,10,5,50,0,25,10,0,15,10,6,10,10,10,7,7,7,7,6,6,7,0,1
0,24,21,0,1,15,20,20,15,15,15,100,0,0,0,0,0,7,7,10,10,10,6,6,6,6,6,6,6,0,1
0,24,24,1,1,45,5,25,20,0,5,100,0,0,0,0,0,7,7,10,10,10,6,5,7,7,9,7,6,0,1
0,24,25,1,1,35,10,35,10,10,0,100,0,0,0,0,0,7,7,10,10,10,5,6,8,5,8,6,5,0,0
0,24,23,1,1,20,20,20,20,10,10,100,0,0,0,0,0,7,7,10,10,10,7,8,8,7,8,7,7,0,1
0,24,21,1,1,20,5,25,25,10,15,100,0,0,0,0,0,7,7,10,10,10,3,10,7,7,10,5,4,0,1
0,24,23,0,1,10,25,20,25,5,15,100,0,0,0,0,0,7,7,10,10,10,7,10,10,6,10,7,6,0,1
0,24,22,0,1,15,15,25,20,15,10,100,0,0,0,0,0,7,7,10,10,10,7,6,8,6,8,7,7,0,1
0,24,25,1,1,9.09,18.18,27.27,18.18,18.18,9.09,100,0,0,0,0,0,7,7,10,10,10,8,10,9,9,8,8,8,0,1
0,24,26,0,1,20,10,20,30,10,10,100,0,0,0,0,0,7,7,10,10,10,5,6,6,6,6,6,6,0,1
0,24,26,1,1,15,15,15,40,10,5,100,0,0,0,0,0,7,7,10,10,10,6,6,6,6,6,6,7,0,1
1,21,25,1,8,25,20,25,20,10,0,12,18,20,16,16,18,5,9,7,9,10,6,8,7,9,5,7,9,1,0
1,21,30,1,8,30,20,10,30,0,10,12,18,20,16,16,18,5,9,7,9,10,5,8,7,5,9,5,7,0,0
1,21,24,0,8,25,35,30,10,0,0,12,18,20,16,16,18,5,9,7,9,10,5,8,8,4,9,3,6,0,0
1,21,24,0,8,25,15,25,25,15,15,12,18,20,16,16,18,5,9,7,9,10,7,7,8,5,7,2,6,0,1
1,21,28,0,8,25,15,25,15,0,20,12,18,20,16,16,18,5,9,7,9,10,6,8,8,6,8,4,5,0,1
1,21,26,0,8,20,35,20,10,10,5,12,18,20,16,16,18,5,9,7,9,10,6,8,8,6,8,5,8,0,0
1,21,30,0,8,20,20,25,25,5,5,12,18,20,16,16,18,5,9,7,9,10,4,7,7,4,7,3,5,0,1
1,21,22,0,8,30,15,25,25,5,0,12,18,20,16,16,18,5,9,7,9,10,7,7,7,5,6,3,6,0,0
1,21,25,1,8,20,20,20,20,5,15,12,18,20,16,16,18,5,9,7,9,10,9,9,10,9,9,8,9,0,0
1,21,27,0,8,35,10,20,15,10,10,12,18,20,16,16,18,5,9,7,9,10,5,7,7,7,7,6,6,0,0
1,21,23,0,8,25,10,35,15,0,15,12,18,20,16,16,18,5,9,7,9,10,7,4,6,4,4,2,2,0,0
1,21,21,0,8,15,20,15,30,5,15,12,18,20,16,16,18,5,9,7,9,10,5,8,8,5,8,2,6,0,0
1,21,28,0,8,40,15,20,10,5,10,12,18,20,16,16,18,5,9,7,9,10,6,8,7,7,7,2,6,0,0
1,21,28,0,8,40,20,20,20,0,0,12,18,20,16,16,18,5,9,7,9,10,6,8,7,6,8,2,6,0,0
1,21,23,0,8,20,25,25,10,10,10,12,18,20,16,16,18,5,9,7,9,10,5,9,9,8,9,5,8,0,0
1,27,25,0,1,25,20,25,20,10,0,20,20,20,10,10,20,7,8,7,8,7,5,7,7,6,7,5,6,0,0
1,27,30,0,1,30,20,10,30,0,10,20,20,20,10,10,20,7,8,7,8,7,4,7,6,6,7,2,3,0,0
1,27,23,0,1,20,25,20,15,10,10,20,20,20,10,10,20,7,8,7,8,7,5,6,6,5,6,3,3,0,0
1,27,24,0,1,25,35,30,10,0,0,20,20,20,10,10,20,7,8,7,8,7,5,7,7,5,7,3,4,0,0
1,27,24,0,1,25,15,25,25,15,15,20,20,20,10,10,20,7,8,7,8,7,6,8,8,7,7,6,6,0,1
1,27,28,0,1,25,15,25,15,0,20,20,20,20,10,10,20,7,8,7,8,7,6,7,7,4,6,6,6,0,1
1,27,26,0,1,20,35,20,10,10,5,20,20,20,10,10,20,7,8,7,8,7,8,7,7,7,6,7,7,0,0
1,27,30,0,1,20,20,25,25,5,5,20,20,20,10,10,20,7,8,7,8,7,5,7,7,6,6,5,5,0,1
1,27,22,0,1,30,15,25,25,5,0,20,20,20,10,10,20,7,8,7,8,7,7,7,7,7,7,6,7,0,0
1,27,25,0,1,20,20,20,20,5,15,20,20,20,10,10,20,7,8,7,8,7,6,7,7,5,7,4,5,0,0
1,27,27,1,1,35,10,20,15,10,10,20,20,20,10,10,20,7,8,7,8,7,5,6,7,7,7,7,6,0,0
1,27,23,0,1,25,10,35,15,0,15,20,20,20,10,10,20,7,8,7,8,7,3,4,5,4,4,2,2,0,0
